"";"OBJECTID";"PARCELID";"PRINTKEY";"STREET_NUM";"STREET_NAME";"SITEADDRESS";"CITY";"ZIP5";"CLASSCD";"CLASSDSCRP";"PRPRTYDSCRP";"OWNERNME1";"PSTLADDRESS";"PSTLCITY";"LOT_FRONTAGE";"LOT_DEPTH";"STATEDAREA";"CURRENT_LAND_VALUE";"CURRENT_TOTAL_VALUE";"CURRENT_TAXABLE_VALUE";"TENTATIVE_LAND_VALUE";"TENTATIVE_TOTAL_VALUE";"TENTATIVE_TAXABLE_VALUE";"SALE_DATE";"SALE_PRICE";"BOOK";"PAGE";"DEED_TYPE";"VALID";"RESCOM";"CALCULATEDACRES";"SHAPEACRES";"BISZONING";"Shape.STArea..";"Shape.STLength..";"OWNERSHIPCODE";"LOW_STREET_NUM";"HIGH_STREET_NUM";"lon";"lat";"crime_count"
"3";3;"04721000010070000000";"047.21-1-7";"696";"BEACH AV";"696 BEACH AV";"ROCHESTER";"14612";"311";"RESIDENTIAL VACANT LAND";NA;"KARSHICK FREDERICK/CATHER  ";"700 BEACH AV";"ROCHESTER  NY  14612";"20";"20";"0";"1200";"1200";1200;1200;1200;1200;"11/16/1998";"305000";"09088";"00456";"W";"";"R";0,00918274;0,00918653;"R-1";70,13671875;33,5002204404447;" ";696;696;-77,6200719;43,26619;271
"7";7;"04721000010690000000";"047.21-1-69";"634";"BEACH AV";"634 BEACH AV";"ROCHESTER";"14612";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER  NY  14614";"240";"6";"0.03";"500";"500";500;500;500;500;" ";"0";" ";" ";" ";"";"R";0,03305785;0,03348438;NA;255,6640625;206,327510720936;" ";634;634;-77,619096;43,265019;279
"8";8;"04721000010220000000";"047.21-1-22";"630";"BEACH AV";"630 BEACH AV";"ROCHESTER";"14612";"312";"RES VACANT LAND W/IMPRV";NA;"TOKARZ ALAN R & SUSAN C  ";"626 BEACH AV";"ROCHESTER  NY  14612";"10";"20";"0";"600";"2500";2500;600;2500;2500;"08/04/1987";"1";"07274";"00050";"W";"";"R";0,00459137;0,00459138;"R-1";35,05078125;25,1257483383453;" ";630;630;-77,618675;43,265515;275
"9";9;"04721000010270000000";"047.21-1-27";"618";"BEACH AV";"618 BEACH AV";"ROCHESTER";"14612";"311";"RESIDENTIAL VACANT LAND";NA;"CAHILL BRIDGET  ";"23 BROCKTON ST";"ROCHESTER  NY  14612";"5";"20";"0";"300";"300";300;300;300;300;"03/06/2015";"1";"11526";"00457";"Q";"";"R";0,00229568;0,00229571;"R-1";17,5234375;20,9421034963462;" ";618;618;-77,618448;43,265411;276
"10";10;"04721000010310000000";"047.21-1-31";"608";"BEACH AV";"608 BEACH AV";"ROCHESTER";"14612";"312";"RES VACANT LAND W/IMPRV";NA;"CHAMBERS FREDERICK O/MARY  ";"604 BEACH AV";"ROCHESTER NY  14612";"40";"21";"0";"2400";"7400";7400;2400;7400;7400;"11/25/2009";"400000";"10820";"00014";"W";"";"R";0,01928375;0,01836562;"R-1";140,22265625;50,2274634073829;" ";608;608;-77,618157;43,265272;279
"16";16;"04729000020180000000";"047.29-2-18";"524";"BEACH AV";"524 BEACH AV";"ROCHESTER";"14612";"311";"RESIDENTIAL VACANT LAND";NA;"DAK'S BEACH HOUSE LLC  ";"128 PLACE ONE DRIVE";"ROCHESTER NY  14626";"10";"20";"0";"600";"600";600;600;600;600;"07/28/2016";"1";"11742";"474";"Q";"";"R";0,00459137;0,00493006;"R-1";37,63671875;25,9006206940585;" ";524;524;-77,616517;43,264314;282
"24";24;"04730000010230000000";"047.30-1-23";"394";"BEACH AV";"394 BEACH AV";"ROCHESTER";"14612";"311";"RESIDENTIAL VACANT LAND";NA;"TERRY TRACT CORP  ";"PO BOX 12484";"ROCHESTER NY  14612";"20";"190";"0";"10000";"10000";10000;10000;10000;10000;" ";"0";"02684";"00192";"Q";"";"R";0,087236;0,09105102;"R-1";695,109375;176,241829637919;" ";394;394;-77,613608;43,262125;353
"54";54;"12042000010230000000";"120.42-1-23";"87";"YORK ST";"87 YORK ST";"ROCHESTER";"14611";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER  NY  14614";"45";"58";"0";"500";"500";500;500;500;500;"11/17/2000";"688766";"09388";"00512";"T";"";"R";0,05991736;0,06064789;"R-1";461,34765625;86,5562795831724;" ";87;87;-77,637755;43,151887;6702
"59";59;"12042000020420010000";"120.42-2-42.001";"12";"KENSINGTON ST";"12 KENSINGTON ST";"ROCHESTER";"14611";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER  NY  14614";"102.72";"109.75";"0.26";"5000";"5000";5000;5000;5000;5000;"04/26/2011";"1";"10991";"00222";"T";"";"R";0,25880441;0,25814981;"R-2";1963,70703125;177,382678125843;" ";12;12;-77,635979;43,151595;6858
"60";60;"12042000010350000000";"120.42-1-35";"17";"DANFORTH ST";"17 DANFORTH ST";"ROCHESTER";"14611";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER  NY  14614";"38";"132.44";"0";"2300";"2300";2300;2300;2300;2300;"04/28/2009";"1";"10738";"00677";"T";"";"R";0,11553535;0,11579101;"R-1";880,796875;142,480432552261;" ";17;17;-77,638136;43,151487;6569
